Iter, Time, Residual(RHO), CL, CD
    187,    0.72787156,  1.16095275e-01,    0.0783272160,    0.0258948640
    188,    0.73175786,  1.15593134e-01,    0.0783475866,    0.0258937912
    189,    0.73564416,  1.15091643e-01,    0.0783677908,    0.0258927612
    190,    0.73953047,  1.14590924e-01,    0.0783878206,    0.0258917733
    191,    0.74341678,  1.14090778e-01,    0.0784076681,    0.0258908267
    192,    0.74730309,  1.13591552e-01,    0.0784273254,    0.0258899209
    193,    0.75118941,  1.13093420e-01,    0.0784467853,    0.0258890550
    194,    0.75507572,  1.12596495e-01,    0.0784660403,    0.0258882284
    195,    0.75896204,  1.12100887e-01,    0.0784850835,    0.0258874401
    196,    0.76284835,  1.11606699e-01,    0.0785039081,    0.0258866895
    197,    0.76673467,  1.11114040e-01,    0.0785225074,    0.0258859757
    198,    0.77062099,  1.10623080e-01,    0.0785408753,    0.0258852979
    199,    0.77450731,  1.10133793e-01,    0.0785590056,    0.0258846553
    200,    0.77839363,  1.09646249e-01,    0.0785768926,    0.0258840469
    201,    0.78227995,  1.09160533e-01,    0.0785945308,    0.0258834720
    202,    0.78616627,  1.08676714e-01,    0.0786119149,    0.0258829297
    203,    0.79005260,  1.08194843e-01,    0.0786290400,    0.0258824190
    204,    0.79393892,  1.07714970e-01,    0.0786459015,    0.0258819392
    205,    0.79782524,  1.07237129e-01,    0.0786624950,    0.0258814893
    206,    0.80171157,  1.06761352e-01,    0.0786788165,    0.0258810685
    207,    0.80559789,  1.06287652e-01,    0.0786948623,    0.0258806759
    208,    0.80948421,  1.05816000e-01,    0.0787106288,    0.0258803105
    209,    0.81337054,  1.05346366e-01,    0.0787261130,    0.0258799715
    210,    0.81725686,  1.04878795e-01,    0.0787413120,    0.0258796580
    211,    0.82114319,  1.04413371e-01,    0.0787562234,    0.0258793691
    212,    0.82502951,  1.03949996e-01,    0.0787708450,    0.0258791039
    213,    0.82891584,  1.03488647e-01,    0.0787851749,    0.0258788616
    214,    0.83280216,  1.03029297e-01,    0.0787992115,    0.0258786413
    215,    0.83668849,  1.02571915e-01,    0.0788129535,    0.0258784422
    216,    0.84057481,  1.02116464e-01,    0.0788264001,    0.0258782633
    217,    0.84446114,  1.01662906e-01,    0.0788395506,    0.0258781038
    218,    0.84834747,  1.01211250e-01,    0.0788524046,    0.0258779629
    219,    0.85223379,  1.00761568e-01,    0.0788649622,    0.0258778397
    220,    0.85612012,  1.00313677e-01,    0.0788772235,    0.0258777336
    221,    0.86000644,  9.98675101e-02,    0.0788891891,    0.0258776435
    222,    0.86389277,  9.94230196e-02,    0.0789008598,    0.0258775688
    223,    0.86777910,  9.89801607e-02,    0.0789122368,    0.0258775086
    224,    0.87166542,  9.85388761e-02,    0.0789233213,    0.0258774623
    225,    0.87555175,  9.80991631e-02,    0.0789341151,    0.0258774290
    226,    0.87943807,  9.76610301e-02,    0.0789446200,    0.0258774080
    227,    0.88332440,  9.72244292e-02,    0.0789548381,    0.0258773986
    228,    0.88721073,  9.67893313e-02,    0.0789647718,    0.0258774001
    229,    0.89109705,  9.63557160e-02,    0.0789744237,    0.0258774118
    230,    0.89498338,  9.59235599e-02,    0.0789837966,    0.0258774330
    231,    0.89886970,  9.54928452e-02,    0.0789928935,    0.0258774631
    232,    0.90275603,  9.50635600e-02,    0.0790017177,    0.0258775015
    233,    0.90664236,  9.46356984e-02,    0.0790102726,    0.0258775474
    234,    0.91052868,  9.42092602e-02,    0.0790185617,    0.0258776005
    235,    0.91441501,  9.37842510e-02,    0.0790265889,    0.0258776599
    236,    0.91830134,  9.33606819e-02,    0.0790343581,    0.0258777253
    237,    0.92218766,  9.29385710e-02,    0.0790418732,    0.0258777961
    238,    0.92607399,  9.25179386e-02,    0.0790491387,    0.0258778717
    239,    0.92996031,  9.20988107e-02,    0.0790561587,    0.0258779516
    240,    0.93384664,  9.16812178e-02,    0.0790629378,    0.0258780354
    241,    0.93773297,  9.12651941e-02,    0.0790694805,    0.0258781226
    242,    0.94161929,  9.08507771e-02,    0.0790757916,    0.0258782128
    243,    0.94550562,  9.04380012e-02,    0.0790818757,    0.0258783055
    244,    0.94939195,  9.00269049e-02,    0.0790877376,    0.0258784004
    245,    0.95327827,  8.96175273e-02,    0.0790933824,    0.0258784971
    246,    0.95716460,  8.92099067e-02,    0.0790988149,    0.0258785952
    247,    0.96105092,  8.88040805e-02,    0.0791040402,    0.0258786944
    248,    0.96493725,  8.84000836e-02,    0.0791090633,    0.0258787943
    249,    0.96882358,  8.79979486e-02,    0.0791138893,    0.0258788947
    250,    0.97270990,  8.75977039e-02,    0.0791185232,    0.0258789952
    251,    0.97659623,  8.71992483e-02,    0.0791229702,    0.0258790957
    252,    0.98048256,  8.68026876e-02,    0.0791272353,    0.0258791958
    253,    0.98436888,  8.64080727e-02,    0.0791313237,    0.0258792954
    254,    0.98825521,  8.60154152e-02,    0.0791352405,    0.0258793942
    255,    0.99214153,  8.56247196e-02,    0.0791389907,    0.0258794920
    256,    0.99602786,  8.52359824e-02,    0.0791425793,    0.0258795887
    257,    0.99991419,  8.48491921e-02,    0.0791460114,    0.0258796840
    258,    1.00380051,  8.44643284e-02,    0.0791492919,    0.0258797779
    259,    1.00768684,  8.40813628e-02,    0.0791524257,    0.0258798701
    260,    1.01157317,  8.37002584e-02,    0.0791554176,    0.0258799607
    261,    1.01545949,  8.33209700e-02,    0.0791582725,    0.0258800494
    262,    1.01934582,  8.29434443e-02,    0.0791609951,    0.0258801362
    263,    1.02323215,  8.25676197e-02,    0.0791635900,    0.0258802210
    264,    1.02711847,  8.21934272e-02,    0.0791660618,    0.0258803037
    265,    1.03100480,  8.18207899e-02,    0.0791684150,    0.0258803843
    266,    1.03489112,  8.14496240e-02,    0.0791706541,    0.0258804627
    267,    1.03877745,  8.10798390e-02,    0.0791727833,    0.0258805389
    268,    1.04266378,  8.07113382e-02,    0.0791748069,    0.0258806128
    269,    1.04655010,  8.03440189e-02,    0.0791767291,    0.0258806845
    270,    1.05043643,  7.99777736e-02,    0.0791785539,    0.0258807538
    271,    1.05432276,  7.96124899e-02,    0.0791802852,    0.0258808209
    272,    1.05820908,  7.92480516e-02,    0.0791819270,    0.0258808857
    273,    1.06209541,  7.88843389e-02,    0.0791834830,    0.0258809482
    274,    1.06598173,  7.85212297e-02,    0.0791849569,    0.0258810085
    275,    1.06986806,  7.81585994e-02,    0.0791863522,    0.0258810665
    276,    1.07375439,  7.77963223e-02,    0.0791876723,    0.0258811223
    277,    1.07764071,  7.74342720e-02,    0.0791889206,    0.0258811759
    278,    1.08152704,  7.70723217e-02,    0.0791901005,    0.0258812273
    279,    1.08541337,  7.67103456e-02,    0.0791912149,    0.0258812766
    280,    1.08929969,  7.63482187e-02,    0.0791922670,    0.0258813239
    281,    1.09318602,  7.59858180e-02,    0.0791932598,    0.0258813691
    282,    1.09707235,  7.56230228e-02,    0.0791941959,    0.0258814124
    283,    1.10095867,  7.52597152e-02,    0.0791950783,    0.0258814537
    284,    1.10484500,  7.48957809e-02,    0.0791959095,    0.0258814932
    285,    1.10873132,  7.45311092e-02,    0.0791966920,    0.0258815308
    286,    1.11261765,  7.41655940e-02,    0.0791974284,    0.0258815666
    287,    1.11650398,  7.37991338e-02,    0.0791981210,    0.0258816007
    288,    1.12039030,  7.34316322e-02,    0.0791987719,    0.0258816332
    289,    1.12427663,  7.30629982e-02,    0.0791993835,    0.0258816640
    290,    1.12816296,  7.26931464e-02,    0.0791999578,    0.0258816933
    291,    1.13204928,  7.23219975e-02,    0.0792004968,    0.0258817211
    292,    1.13593561,  7.19494783e-02,    0.0792010023,    0.0258817474
    293,    1.13982193,  7.15755219e-02,    0.0792014762,    0.0258817724
    294,    1.14370826,  7.12000679e-02,    0.0792019203,    0.0258817960
    295,    1.14759459,  7.08230621e-02,    0.0792023362,    0.0258818184
    296,    1.15148091,  7.04444575e-02,    0.0792027255,    0.0258818395
    297,    1.15536724,  7.00642131e-02,    0.0792030897,    0.0258818594
    298,    1.15925357,  6.96822948e-02,    0.0792034302,    0.0258818783
    299,    1.16313989,  6.92986752e-02,    0.0792037485,    0.0258818960
    300,    1.16702622,  6.89133331e-02,    0.0792040459,    0.0258819127
    301,    1.17091254,  6.85262539e-02,    0.0792043235,    0.0258819285
    302,    1.17479887,  6.81374292e-02,    0.0792045825,    0.0258819433
    303,    1.17868520,  6.77468568e-02,    0.0792048241,    0.0258819573
    304,    1.18257152,  6.73545405e-02,    0.0792050494,    0.0258819704
    305,    1.18645785,  6.69604900e-02,    0.0792052593,    0.0258819827
    306,    1.19034418,  6.65647204e-02,    0.0792054547,    0.0258819942
    307,    1.19423050,  6.61672525e-02,    0.0792056367,    0.0258820051
    308,    1.19811683,  6.57681122e-02,    0.0792058060,    0.0258820152
    309,    1.20200316,  6.53673304e-02,    0.0792059634,    0.0258820247
    310,    1.20588948,  6.49649428e-02,    0.0792061098,    0.0258820336
    311,    1.20977581,  6.45609894e-02,    0.0792062458,    0.0258820420
    312,    1.21366213,  6.41555149e-02,    0.0792063720,    0.0258820497
    313,    1.21754846,  6.37485675e-02,    0.0792064892,    0.0258820570
    314,    1.22143479,  6.33401997e-02,    0.0792065979,    0.0258820638
    315,    1.22532111,  6.29304672e-02,    0.0792066988,    0.0258820702
